	TF BTL Small Studio-L		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
39750.000000	-14.38	73.11	0.99
39937.500000	-14.55	73.60	0.99
40125.000000	-14.74	74.04	0.98
40312.500000	-14.93	74.43	0.99
40500.000000	-15.13	74.75	0.98
40687.500000	-15.33	74.99	0.98
40875.000000	-15.54	75.14	0.99
41062.500000	-15.76	75.20	0.98
41250.000000	-15.98	75.17	0.98
41437.500000	-16.21	75.03	0.98
41625.000000	-16.44	74.79	0.98
41812.500000	-16.68	74.46	0.98
42000.000000	-16.93	74.03	0.98
42187.500000	-17.18	73.50	0.97
42375.000000	-17.42	72.89	0.97
42562.500000	-17.66	72.16	0.97
42750.000000	-17.89	71.29	0.97
42937.500000	-18.11	70.25	0.97
43125.000000	-18.33	69.00	0.97
43312.500000	-18.55	67.51	0.97
43500.000000	-18.76	65.78	0.97
43687.500000	-18.98	63.80	0.97
43875.000000	-19.21	61.55	0.97
44062.500000	-19.43	59.04	0.97
44250.000000	-19.66	56.26	0.97
44437.500000	-19.89	53.17	0.97
44625.000000	-20.12	49.76	0.96
44812.500000	-20.37	45.99	0.96
45000.000000	-20.64	41.84	0.96
45187.500000	-20.95	37.29	0.96
45375.000000	-21.31	32.27	0.96
45562.500000	-21.74	26.80	0.95
45750.000000	-22.26	20.90	0.93
45937.500000	-22.87	14.64	0.92
46125.000000	-23.53	8.12	0.90
46312.500000	-24.21	1.46	0.86
46500.000000	-24.87	-5.25	0.83
46687.500000	-25.47	-12.06	0.78
46875.000000	-25.99	-19.18	0.76
47062.500000	-26.45	-26.71	0.71
47250.000000	-26.85	-34.32	0.65
47437.500000	-27.17	-41.43	0.52
47625.000000	-27.39	-46.73	0.45
47812.500000	-27.50	-48.95	0.23
